Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
160,James Harden\hardeja01,SG,30,HOU,8,8,283,74,191,.387,30,111,.270,44,80,.550,.466,114,126,.905,10,30,40,65,10,6,46,26,292
161,Maurice Harkless\harklma01,PF,26,LAC,9,0,180,21,39,.538,3,10,.300,18,29,.621,.577,3,6,.500,5,20,25,7,11,4,9,31,48
162,Jared Harper\harpeja01,PG,22,PHO,1,0,2,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0
163,Montrezl Harrell\harremo01,C,26,LAC,9,1,263,73,108,.676,0,1,.000,73,107,.682,.676,38,58,.655,24,36,60,20,7,9,19,22,184
164,Gary Harris\harriga01,SG,25,DEN,8,8,247,32,79,.405,12,32,.375,20,47,.426,.481,11,14,.786,4,21,25,13,10,1,10,14,87
165,Joe Harris\harrijo01,SG,28,BRK,8,8,266,44,84,.524,26,48,.542,18,36,.500,.679,5,7,.714,10,21,31,14,6,2,13,22,119
166,Tobias Harris\harrito02,SF,27,PHI,8,8,286,58,117,.496,10,34,.294,48,83,.578,.538,25,33,.758,5,65,70,24,11,4,17,28,151
167,Shaquille Harrison\harrish01,PG,26,CHI,5,0,21,3,10,.300,0,1,.000,3,9,.333,.300,4,6,.667,0,7,7,2,0,1,0,4,10
168,Josh Hart\hartjo01,SF,24,NOP,8,3,224,34,80,.425,16,48,.333,18,32,.563,.525,13,14,.929,12,44,56,8,10,4,11,22,97
169,Jaxson Hayes\hayesja02,C,19,NOP,5,0,78,15,24,.625,0,2,.000,15,22,.682,.625,5,11,.455,9,12,21,5,4,2,3,19,35
170,Gordon Hayward\haywago01,SF,29,BOS,7,7,235,57,101,.564,12,27,.444,45,74,.608,.624,16,19,.842,6,49,55,32,5,1,14,14,142
171,John Henson\hensojo01,PF,29,CLE,1,0,8,1,2,.500,0,1,.000,1,1,1.000,.500,1,6,.167,2,1,3,0,2,2,1,0,3
172,Juan Hernangómez\hernaju01,PF,24,DEN,3,0,19,1,5,.200,1,4,.250,0,1,.000,.300,0,0,,0,1,1,0,0,1,0,0,3
173,Willy Hernangómez\hernawi01,C,25,CHO,3,0,28,5,10,.500,1,2,.500,4,8,.500,.550,0,0,,4,2,6,1,1,2,2,1,11
174,Tyler Herro\herroty01,SG,20,MIA,9,3,263,41,98,.418,16,43,.372,25,55,.455,.500,20,24,.833,2,41,43,20,8,0,16,12,118
175,Mario Hezonja\hezonma01,SF,24,POR,9,2,207,18,55,.327,7,21,.333,11,34,.324,.391,8,10,.800,8,51,59,8,8,2,8,26,51
176,Buddy Hield\hieldbu01,SG,27,SAC,9,9,272,61,144,.424,32,79,.405,29,65,.446,.535,9,11,.818,7,32,39,14,6,5,25,23,163
177,George Hill\hillge01,PG,33,MIL,9,0,205,34,60,.567,15,26,.577,19,34,.559,.692,10,15,.667,11,15,26,24,9,1,4,15,93
178,Solomon Hill\hillso01,SF,28,MEM,6,0,106,15,31,.484,7,16,.438,8,15,.533,.597,7,10,.700,3,14,17,8,4,1,8,10,44
179,Aaron Holiday\holidaa01,PG,23,IND,7,2,129,15,46,.326,8,18,.444,7,28,.250,.413,4,5,.800,2,14,16,17,6,1,7,10,42
