Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Apr 16 2016,12:30p,IND,100,TOR,90,Box Score,,19800,
Sat Apr 16 2016,3:30p,HOU,78,GSW,104,Box Score,,19596,
Sat Apr 16 2016,7:00p,BOS,101,ATL,102,Box Score,,18980,
Sat Apr 16 2016,9:30p,DAL,70,OKC,108,Box Score,,18203,
Sun Apr 17 2016,3:00p,DET,101,CLE,106,Box Score,,20562,
Sun Apr 17 2016,5:30p,CHO,91,MIA,123,Box Score,,19600,
Sun Apr 17 2016,8:00p,MEM,74,SAS,106,Box Score,,18418,
Sun Apr 17 2016,10:30p,POR,95,LAC,115,Box Score,,19122,
Mon Apr 18 2016,7:00p,IND,87,TOR,98,Box Score,,19800,
Mon Apr 18 2016,8:00p,DAL,85,OKC,84,Box Score,,18203,
Mon Apr 18 2016,10:30p,HOU,106,GSW,115,Box Score,,19596,
Tue Apr 19 2016,7:00p,BOS,72,ATL,89,Box Score,,18972,
Tue Apr 19 2016,9:30p,MEM,68,SAS,94,Box Score,,18418,
Wed Apr 20 2016,7:00p,CHO,103,MIA,115,Box Score,,19650,
Wed Apr 20 2016,8:00p,DET,90,CLE,107,Box Score,,20562,
Wed Apr 20 2016,10:30p,POR,81,LAC,102,Box Score,,19127,
Thu Apr 21 2016,7:00p,OKC,131,DAL,102,Box Score,,20150,
Thu Apr 21 2016,7:30p,TOR,101,IND,85,Box Score,,18165,
Thu Apr 21 2016,9:30p,GSW,96,HOU,97,Box Score,,18200,
Fri Apr 22 2016,7:00p,CLE,101,DET,91,Box Score,,21584,
Fri Apr 22 2016,8:00p,ATL,103,BOS,111,Box Score,,18624,
Fri Apr 22 2016,9:30p,SAS,96,MEM,87,Box Score,,18119,
Sat Apr 23 2016,3:00p,TOR,83,IND,100,Box Score,,18165,
Sat Apr 23 2016,5:30p,MIA,80,CHO,96,Box Score,,19604,
Sat Apr 23 2016,8:00p,OKC,119,DAL,108,Box Score,,20516,
Sat Apr 23 2016,10:30p,LAC,88,POR,96,Box Score,,19761,
Sun Apr 24 2016,1:00p,SAS,116,MEM,95,Box Score,,18119,
Sun Apr 24 2016,3:30p,GSW,121,HOU,94,Box Score,,18200,
Sun Apr 24 2016,6:00p,ATL,95,BOS,104,Box Score,OT,18624,
Sun Apr 24 2016,8:30p,CLE,100,DET,98,Box Score,,21584,
Mon Apr 25 2016,7:00p,MIA,85,CHO,89,Box Score,,19156,
Mon Apr 25 2016,8:00p,DAL,104,OKC,118,Box Score,,18203,
Mon Apr 25 2016,10:30p,LAC,84,POR,98,Box Score,,19607,
Tue Apr 26 2016,6:00p,IND,99,TOR,102,Box Score,,19800,
Tue Apr 26 2016,8:30p,BOS,83,ATL,110,Box Score,,18987,
Wed Apr 27 2016,8:00p,CHO,90,MIA,88,Box Score,,19685,
Wed Apr 27 2016,10:00p,POR,108,LAC,98,Box Score,,19060,
Wed Apr 27 2016,10:30p,HOU,81,GSW,114,Box Score,,19596,
Thu Apr 28 2016,8:00p,ATL,104,BOS,92,Box Score,,18624,
Fri Apr 29 2016,7:30p,TOR,83,IND,101,Box Score,,18165,
Fri Apr 29 2016,8:00p,MIA,97,CHO,90,Box Score,,19636,
Fri Apr 29 2016,10:30p,LAC,103,POR,106,Box Score,,19768,
Sat Apr 30 2016,8:30p,OKC,92,SAS,124,Box Score,,18418,
Sun May 1 2016,1:00p,CHO,73,MIA,106,Box Score,,19868,
Sun May 1 2016,3:30p,POR,106,GSW,118,Box Score,,19596,
Sun May 1 2016,8:00p,IND,84,TOR,89,Box Score,,20669,
Mon May 2 2016,7:00p,ATL,93,CLE,104,Box Score,,20562,
Mon May 2 2016,9:30p,OKC,98,SAS,97,Box Score,,18418,
Tue May 3 2016,8:00p,MIA,102,TOR,96,Box Score,OT,19800,
Tue May 3 2016,10:30p,POR,99,GSW,110,Box Score,,19596,
Wed May 4 2016,8:00p,ATL,98,CLE,123,Box Score,,20562,
Thu May 5 2016,8:00p,MIA,92,TOR,96,Box Score,OT,20906,
Fri May 6 2016,7:00p,CLE,121,ATL,108,Box Score,,19089,
Fri May 6 2016,9:30p,SAS,100,OKC,96,Box Score,,18203,
Sat May 7 2016,5:00p,TOR,95,MIA,91,Box Score,,19675,
Sat May 7 2016,8:30p,GSW,108,POR,120,Box Score,,19673,
Sun May 8 2016,3:30p,CLE,100,ATL,99,Box Score,,19031,
Sun May 8 2016,8:00p,SAS,97,OKC,111,Box Score,,18203,
Mon May 9 2016,8:00p,TOR,87,MIA,94,Box Score,OT,19600,
Mon May 9 2016,10:30p,GSW,132,POR,125,Box Score,OT,19583,
Tue May 10 2016,8:00p,OKC,95,SAS,91,Box Score,,18418,
Wed May 11 2016,8:00p,MIA,91,TOR,99,Box Score,,20155,
Wed May 11 2016,10:30p,POR,121,GSW,125,Box Score,,19596,
Thu May 12 2016,8:30p,SAS,99,OKC,113,Box Score,,18203,
