Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri May 13 2016,8:00p,TOR,91,MIA,103,Box Score,,19757,
Sun May 15 2016,3:30p,MIA,89,TOR,116,Box Score,,20257,
Mon May 16 2016,9:00p,OKC,108,GSW,102,Box Score,,19596,
Tue May 17 2016,8:30p,TOR,84,CLE,115,Box Score,,20562,
Wed May 18 2016,9:00p,OKC,91,GSW,118,Box Score,,19596,
Thu May 19 2016,8:30p,TOR,89,CLE,108,Box Score,,20562,
Sat May 21 2016,8:30p,CLE,84,TOR,99,Box Score,,20207,
Sun May 22 2016,8:00p,GSW,105,OKC,133,Box Score,,18203,
Mon May 23 2016,8:30p,CLE,99,TOR,105,Box Score,,20367,
Tue May 24 2016,9:00p,GSW,94,OKC,118,Box Score,,18203,
Wed May 25 2016,8:30p,TOR,78,CLE,116,Box Score,,20562,
Thu May 26 2016,9:00p,OKC,111,GSW,120,Box Score,,19596,
Fri May 27 2016,8:30p,CLE,113,TOR,87,Box Score,,20605,
Sat May 28 2016,9:00p,GSW,108,OKC,101,Box Score,,18203,
Mon May 30 2016,9:00p,OKC,88,GSW,96,Box Score,,19596,
Thu Jun 2 2016,9:00p,CLE,89,GSW,104,Box Score,,19596,
Sun Jun 5 2016,8:00p,CLE,77,GSW,110,Box Score,,19596,
Wed Jun 8 2016,9:00p,GSW,90,CLE,120,Box Score,,20562,
Fri Jun 10 2016,9:00p,GSW,108,CLE,97,Box Score,,20562,
Mon Jun 13 2016,9:00p,CLE,112,GSW,97,Box Score,,19596,
Thu Jun 16 2016,9:00p,GSW,101,CLE,115,Box Score,,20562,
Sun Jun 19 2016,8:00p,CLE,93,GSW,89,Box Score,,19596,
