Date,Start (ET),Visitor,Visitor PTS,Home,Home PTS,,,Attend.,Notes
Tue Oct 16 2018,8:00p,PHI,87,BOS,105,Box Score,,18624,
Tue Oct 16 2018,10:30p,OKC,100,GSW,108,Box Score,,19596,
Wed Oct 17 2018,7:00p,MIL,113,CHO,112,Box Score,,17889,
Wed Oct 17 2018,7:00p,BRK,100,DET,103,Box Score,,20332,
Wed Oct 17 2018,7:00p,MEM,83,IND,111,Box Score,,17923,
Wed Oct 17 2018,7:00p,MIA,101,ORL,104,Box Score,,19191,
Wed Oct 17 2018,7:30p,ATL,107,NYK,126,Box Score,,18249,
Wed Oct 17 2018,7:30p,CLE,104,TOR,116,Box Score,,19915,
Wed Oct 17 2018,8:00p,NOP,131,HOU,112,Box Score,,18055,
Wed Oct 17 2018,8:30p,MIN,108,SAS,112,Box Score,,18354,
Wed Oct 17 2018,10:00p,UTA,123,SAC,117,Box Score,,17583,
Wed Oct 17 2018,10:30p,DEN,107,LAC,98,Box Score,,19068,
Wed Oct 17 2018,10:30p,DAL,100,PHO,121,Box Score,,18055,
Thu Oct 18 2018,8:00p,CHI,108,PHI,127,Box Score,,20302,
Thu Oct 18 2018,8:00p,MIA,113,WAS,112,Box Score,,20409,
Thu Oct 18 2018,10:30p,LAL,119,POR,128,Box Score,,19996,
Fri Oct 19 2018,7:00p,CHO,120,ORL,88,Box Score,,17668,
Fri Oct 19 2018,7:30p,NYK,105,BRK,107,Box Score,,17732,
Fri Oct 19 2018,8:00p,ATL,117,MEM,131,Box Score,,17019,
Fri Oct 19 2018,8:00p,CLE,123,MIN,131,Box Score,,18978,
Fri Oct 19 2018,8:00p,SAC,129,NOP,149,Box Score,,18337,
Fri Oct 19 2018,8:00p,BOS,101,TOR,113,Box Score,,19800,
Fri Oct 19 2018,8:30p,IND,101,MIL,118,Box Score,,17341,
Fri Oct 19 2018,10:30p,OKC,92,LAC,108,Box Score,,14816,
Fri Oct 19 2018,10:30p,GSW,124,UTA,123,Box Score,,18306,
Sat Oct 20 2018,7:00p,BRK,112,IND,132,Box Score,,17007,
Sat Oct 20 2018,7:00p,TOR,117,WAS,113,Box Score,,16185,
Sat Oct 20 2018,7:30p,BOS,103,NYK,101,Box Score,,19427,
Sat Oct 20 2018,7:30p,ORL,115,PHI,116,Box Score,,20300,
Sat Oct 20 2018,8:00p,DET,118,CHI,116,Box Score,,21289,
Sat Oct 20 2018,8:00p,CHO,113,MIA,112,Box Score,,19600,
Sat Oct 20 2018,8:30p,MIN,136,DAL,140,Box Score,,20205,
Sat Oct 20 2018,9:00p,PHO,91,DEN,119,Box Score,,19592,
Sat Oct 20 2018,10:00p,SAS,108,POR,121,Box Score,,19461,
Sat Oct 20 2018,10:30p,HOU,124,LAL,115,Box Score,,18997,
Sun Oct 21 2018,6:00p,ATL,133,CLE,111,Box Score,,19432,
Sun Oct 21 2018,7:00p,SAC,131,OKC,120,Box Score,,18203,
Sun Oct 21 2018,8:00p,GSW,98,DEN,100,Box Score,,19520,
Sun Oct 21 2018,9:00p,HOU,112,LAC,115,Box Score,,16149,
Mon Oct 22 2018,7:30p,ORL,93,BOS,90,Box Score,,18624,
Mon Oct 22 2018,7:30p,CHO,106,TOR,127,Box Score,,19800,
Mon Oct 22 2018,8:00p,NYK,113,MIL,124,Box Score,,16228,
Mon Oct 22 2018,8:00p,IND,91,MIN,101,Box Score,,10371,
Mon Oct 22 2018,8:30p,CHI,109,DAL,115,Box Score,,19291,
Mon Oct 22 2018,9:00p,MEM,92,UTA,84,Box Score,,18306,
Mon Oct 22 2018,10:00p,WAS,125,POR,124,Box Score,OT,19187,
Mon Oct 22 2018,10:30p,PHO,103,GSW,123,Box Score,,19596,
Mon Oct 22 2018,10:30p,SAS,143,LAL,142,Box Score,OT,18997,
Tue Oct 23 2018,7:00p,PHI,132,DET,133,Box Score,OT,14418,
Tue Oct 23 2018,8:00p,LAC,109,NOP,116,Box Score,,14625,
Tue Oct 23 2018,9:00p,SAC,112,DEN,126,Box Score,,13214,
Wed Oct 24 2018,7:00p,DAL,104,ATL,111,Box Score,,16705,
Wed Oct 24 2018,7:00p,BRK,102,CLE,86,Box Score,,19432,
Wed Oct 24 2018,7:30p,NYK,87,MIA,110,Box Score,,19600,
Wed Oct 24 2018,7:30p,MIN,105,TOR,112,Box Score,,19800,
Wed Oct 24 2018,8:00p,CHO,110,CHI,112,Box Score,,19170,
Wed Oct 24 2018,8:00p,UTA,100,HOU,89,Box Score,,18055,
Wed Oct 24 2018,8:30p,IND,116,SAS,96,Box Score,,18354,
Wed Oct 24 2018,9:30p,PHI,108,MIL,123,Box Score,,17341,
Wed Oct 24 2018,10:00p,LAL,131,PHO,113,Box Score,,18055,
Wed Oct 24 2018,10:00p,MEM,92,SAC,97,Box Score,,14198,
Wed Oct 24 2018,10:30p,WAS,122,GSW,144,Box Score,,19596,
Thu Oct 25 2018,7:00p,CLE,103,DET,110,Box Score,,15896,
Thu Oct 25 2018,7:00p,POR,128,ORL,114,Box Score,,15114,
