Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu May 4 2017,10:30p,UTA,104,GSW,115,Box Score,,19596,
Fri May 5 2017,7:00p,CLE,115,TOR,94,Box Score,,20384,
Fri May 5 2017,9:30p,SAS,103,HOU,92,Box Score,,18187,
Sat May 6 2017,8:30p,GSW,102,UTA,91,Box Score,,19911,
Sun May 7 2017,3:30p,CLE,109,TOR,102,Box Score,,20307,
Sun May 7 2017,6:30p,BOS,102,WAS,121,Box Score,,20356,
Sun May 7 2017,9:00p,SAS,104,HOU,125,Box Score,,18055,
Mon May 8 2017,9:00p,GSW,121,UTA,95,Box Score,,19911,
Tue May 9 2017,8:00p,HOU,107,SAS,110,Box Score,OT,18418,
Wed May 10 2017,8:00p,WAS,101,BOS,123,Box Score,,18624,
Thu May 11 2017,8:00p,SAS,114,HOU,75,Box Score,,18055,
Fri May 12 2017,8:00p,BOS,91,WAS,92,Box Score,,20356,
Sun May 14 2017,3:30p,SAS,111,GSW,113,Box Score,,19596,
Mon May 15 2017,8:00p,WAS,105,BOS,115,Box Score,,18624,
Tue May 16 2017,9:00p,SAS,100,GSW,136,Box Score,,19596,
Wed May 17 2017,8:30p,CLE,117,BOS,104,Box Score,,18624,
Fri May 19 2017,8:30p,CLE,130,BOS,86,Box Score,,18624,
Sat May 20 2017,9:00p,GSW,120,SAS,108,Box Score,,18792,
Sun May 21 2017,8:30p,BOS,111,CLE,108,Box Score,,20562,
Mon May 22 2017,9:00p,GSW,129,SAS,115,Box Score,,18466,
Tue May 23 2017,8:30p,BOS,99,CLE,112,Box Score,,20562,
Thu May 25 2017,8:30p,CLE,135,BOS,102,Box Score,,18624,
Thu Jun 1 2017,9:00p,CLE,91,GSW,113,Box Score,,19596,
Sun Jun 4 2017,8:00p,CLE,113,GSW,132,Box Score,,19596,
Wed Jun 7 2017,9:00p,GSW,118,CLE,113,Box Score,,20562,
Fri Jun 9 2017,9:00p,GSW,116,CLE,137,Box Score,,20562,
Mon Jun 12 2017,9:00p,CLE,120,GSW,129,Box Score,,19596,
