Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Apr 15 2017,3:00p,IND,108,CLE,109,Box Score,,20562,
Sat Apr 15 2017,5:30p,MIL,97,TOR,83,Box Score,,20133,
Sat Apr 15 2017,8:00p,MEM,82,SAS,111,Box Score,,18418,
Sat Apr 15 2017,10:30p,UTA,97,LAC,95,Box Score,,19060,
Sun Apr 16 2017,1:00p,ATL,107,WAS,114,Box Score,,20356,
Sun Apr 16 2017,3:30p,POR,109,GSW,121,Box Score,,19596,
Sun Apr 16 2017,6:30p,CHI,106,BOS,102,Box Score,,18624,
Sun Apr 16 2017,9:00p,OKC,87,HOU,118,Box Score,,18055,
Mon Apr 17 2017,7:00p,IND,111,CLE,117,Box Score,,20562,
Mon Apr 17 2017,9:30p,MEM,82,SAS,96,Box Score,,18418,
Tue Apr 18 2017,7:00p,MIL,100,TOR,106,Box Score,,20077,
Tue Apr 18 2017,8:00p,CHI,111,BOS,97,Box Score,,18624,
Tue Apr 18 2017,10:30p,UTA,91,LAC,99,Box Score,,19060,
Wed Apr 19 2017,7:00p,ATL,101,WAS,109,Box Score,,20356,
Wed Apr 19 2017,8:00p,OKC,111,HOU,115,Box Score,,18055,
Wed Apr 19 2017,10:30p,POR,81,GSW,110,Box Score,,19596,
Thu Apr 20 2017,7:00p,CLE,119,IND,114,Box Score,,17923,
Thu Apr 20 2017,8:00p,TOR,77,MIL,104,Box Score,,18717,
Thu Apr 20 2017,9:30p,SAS,94,MEM,105,Box Score,,18119,
Fri Apr 21 2017,7:00p,BOS,104,CHI,87,Box Score,,21293,
Fri Apr 21 2017,9:30p,HOU,113,OKC,115,Box Score,,18203,
Fri Apr 21 2017,10:00p,LAC,111,UTA,106,Box Score,,19911,
Sat Apr 22 2017,3:00p,TOR,87,MIL,76,Box Score,,18717,
Sat Apr 22 2017,5:30p,WAS,98,ATL,116,Box Score,,18866,
Sat Apr 22 2017,8:00p,SAS,108,MEM,110,Box Score,OT,18119,
Sat Apr 22 2017,10:30p,GSW,119,POR,113,Box Score,,20177,
Sun Apr 23 2017,1:00p,CLE,106,IND,102,Box Score,,17923,
Sun Apr 23 2017,3:30p,HOU,113,OKC,109,Box Score,,18203,
Sun Apr 23 2017,6:30p,BOS,104,CHI,95,Box Score,,21863,
Sun Apr 23 2017,9:00p,LAC,98,UTA,105,Box Score,,19911,
Mon Apr 24 2017,7:00p,MIL,93,TOR,118,Box Score,,20251,
Mon Apr 24 2017,8:00p,WAS,101,ATL,111,Box Score,,18676,
Mon Apr 24 2017,10:30p,GSW,128,POR,103,Box Score,,19902,
Tue Apr 25 2017,8:00p,OKC,99,HOU,105,Box Score,,18055,
Tue Apr 25 2017,9:00p,MEM,103,SAS,116,Box Score,,18418,
Tue Apr 25 2017,10:30p,UTA,96,LAC,92,Box Score,,19171,
Wed Apr 26 2017,6:00p,ATL,99,WAS,103,Box Score,,20356,
Wed Apr 26 2017,8:30p,CHI,97,BOS,108,Box Score,,18624,
Thu Apr 27 2017,7:00p,TOR,92,MIL,89,Box Score,,18717,
Thu Apr 27 2017,9:30p,SAS,103,MEM,96,Box Score,,18119,
Fri Apr 28 2017,7:30p,WAS,115,ATL,99,Box Score,,18849,
Fri Apr 28 2017,8:00p,BOS,105,CHI,83,Box Score,,21682,
Fri Apr 28 2017,10:30p,LAC,98,UTA,93,Box Score,,19911,
Sun Apr 30 2017,1:00p,WAS,111,BOS,123,Box Score,,18624,
Sun Apr 30 2017,3:30p,UTA,104,LAC,91,Box Score,,19060,
Mon May 1 2017,7:00p,TOR,105,CLE,116,Box Score,,20562,
Mon May 1 2017,9:30p,HOU,126,SAS,99,Box Score,,18418,
Tue May 2 2017,8:00p,WAS,119,BOS,129,Box Score,OT,18624,
Tue May 2 2017,10:30p,UTA,94,GSW,106,Box Score,,19596,
Wed May 3 2017,7:00p,TOR,103,CLE,125,Box Score,,20562,
Wed May 3 2017,9:30p,HOU,96,SAS,121,Box Score,,18418,
Thu May 4 2017,8:00p,BOS,89,WAS,116,Box Score,,20356,
