Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Apr 18 2015,12:30p,WAS,93,TOR,86,Box Score,OT,19800,
Sat Apr 18 2015,3:30p,NOP,99,GSW,106,Box Score,,19596,
Sat Apr 18 2015,7:00p,MIL,91,CHI,103,Box Score,,21812,
Sat Apr 18 2015,9:30p,DAL,108,HOU,118,Box Score,,18231,
Sun Apr 19 2015,3:00p,BOS,100,CLE,113,Box Score,,20562,
Sun Apr 19 2015,5:30p,BRK,92,ATL,99,Box Score,,18440,
Sun Apr 19 2015,8:00p,POR,86,MEM,100,Box Score,,18119,
Sun Apr 19 2015,10:30p,SAS,92,LAC,107,Box Score,,19309,
Mon Apr 20 2015,8:00p,MIL,82,CHI,91,Box Score,,21661,
Mon Apr 20 2015,10:30p,NOP,87,GSW,97,Box Score,,19596,
Tue Apr 21 2015,7:00p,BOS,91,CLE,99,Box Score,,20562,
Tue Apr 21 2015,8:00p,WAS,117,TOR,106,Box Score,,19800,
Tue Apr 21 2015,9:30p,DAL,99,HOU,111,Box Score,,18243,
Wed Apr 22 2015,7:00p,BRK,91,ATL,96,Box Score,,18207,
Wed Apr 22 2015,8:00p,POR,82,MEM,97,Box Score,,18119,
Wed Apr 22 2015,10:30p,SAS,111,LAC,107,Box Score,OT,19482,
Thu Apr 23 2015,7:00p,CLE,103,BOS,95,Box Score,,18624,
Thu Apr 23 2015,8:00p,CHI,113,MIL,106,Box Score,2OT,18717,
Thu Apr 23 2015,9:30p,GSW,123,NOP,119,Box Score,OT,18444,
Fri Apr 24 2015,7:00p,HOU,130,DAL,128,Box Score,,20651,
Fri Apr 24 2015,8:00p,TOR,99,WAS,106,Box Score,,20356,
Fri Apr 24 2015,9:30p,LAC,73,SAS,100,Box Score,,18581,
Sat Apr 25 2015,3:00p,ATL,83,BRK,91,Box Score,,17732,
Sat Apr 25 2015,5:30p,CHI,90,MIL,92,Box Score,,18717,
Sat Apr 25 2015,8:00p,GSW,109,NOP,98,Box Score,,18443,
Sat Apr 25 2015,10:30p,MEM,115,POR,109,Box Score,,19945,
Sun Apr 26 2015,1:00p,CLE,101,BOS,93,Box Score,,18624,
Sun Apr 26 2015,3:30p,LAC,114,SAS,105,Box Score,,18581,
Sun Apr 26 2015,6:30p,TOR,94,WAS,125,Box Score,,20356,
Sun Apr 26 2015,9:00p,HOU,109,DAL,121,Box Score,,20589,
Mon Apr 27 2015,7:00p,ATL,115,BRK,120,Box Score,OT,17732,
Mon Apr 27 2015,8:00p,MIL,94,CHI,88,Box Score,,21814,
Mon Apr 27 2015,10:30p,MEM,92,POR,99,Box Score,,19541,
Tue Apr 28 2015,8:00p,DAL,94,HOU,103,Box Score,,18231,
Tue Apr 28 2015,10:30p,SAS,111,LAC,107,Box Score,,19571,
