Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Apr 29 2015,7:00p,BRK,97,ATL,107,Box Score,,18105,
Wed Apr 29 2015,9:30p,POR,93,MEM,99,Box Score,,18119,
Thu Apr 30 2015,7:00p,CHI,120,MIL,66,Box Score,,18717,
Thu Apr 30 2015,9:30p,LAC,102,SAS,96,Box Score,,18581,
Fri May 1 2015,8:00p,ATL,111,BRK,87,Box Score,,17732,
Sat May 2 2015,8:00p,SAS,109,LAC,111,Box Score,,19588,
Sun May 3 2015,1:00p,WAS,104,ATL,98,Box Score,,18148,
Sun May 3 2015,3:30p,MEM,86,GSW,101,Box Score,,19596,
Mon May 4 2015,7:00p,CHI,99,CLE,92,Box Score,,20562,
Mon May 4 2015,9:30p,LAC,117,HOU,101,Box Score,,18231,
Tue May 5 2015,8:00p,WAS,90,ATL,106,Box Score,,18131,
Tue May 5 2015,10:30p,MEM,97,GSW,90,Box Score,,19596,
Wed May 6 2015,7:00p,CHI,91,CLE,106,Box Score,,20562,
Wed May 6 2015,9:30p,LAC,109,HOU,115,Box Score,,18310,
Fri May 8 2015,8:00p,CLE,96,CHI,99,Box Score,,22246,
Fri May 8 2015,10:30p,HOU,99,LAC,124,Box Score,,19367,
Sat May 9 2015,5:00p,ATL,101,WAS,103,Box Score,,20356,
Sat May 9 2015,8:00p,GSW,89,MEM,99,Box Score,,18119,
Sun May 10 2015,3:30p,CLE,86,CHI,84,Box Score,,22256,
Sun May 10 2015,8:30p,HOU,95,LAC,128,Box Score,,19490,
Mon May 11 2015,7:00p,ATL,106,WAS,101,Box Score,,20356,
Mon May 11 2015,9:30p,GSW,101,MEM,84,Box Score,,18119,
Tue May 12 2015,7:00p,CHI,101,CLE,106,Box Score,,20562,
Tue May 12 2015,9:30p,LAC,103,HOU,124,Box Score,,18142,
Wed May 13 2015,8:00p,WAS,81,ATL,82,Box Score,,18854,
Wed May 13 2015,10:30p,MEM,78,GSW,98,Box Score,,19596,
Thu May 14 2015,8:00p,CLE,94,CHI,73,Box Score,,22695,
Thu May 14 2015,10:30p,HOU,119,LAC,107,Box Score,,19417,
Fri May 15 2015,7:00p,ATL,94,WAS,91,Box Score,,20356,
Fri May 15 2015,9:30p,GSW,108,MEM,95,Box Score,,18119,
Sun May 17 2015,3:30p,LAC,100,HOU,113,Box Score,,18463,
Tue May 19 2015,9:00p,HOU,106,GSW,110,Box Score,,19596,
Wed May 20 2015,8:30p,CLE,97,ATL,89,Box Score,,18489,
Thu May 21 2015,9:00p,HOU,98,GSW,99,Box Score,,19596,
Fri May 22 2015,8:30p,CLE,94,ATL,82,Box Score,,18670,
Sat May 23 2015,9:00p,GSW,115,HOU,80,Box Score,,18282,
Sun May 24 2015,8:30p,ATL,111,CLE,114,Box Score,OT,20562,
Mon May 25 2015,9:00p,GSW,115,HOU,128,Box Score,,18239,
Tue May 26 2015,8:30p,ATL,88,CLE,118,Box Score,,20562,
Wed May 27 2015,9:00p,HOU,90,GSW,104,Box Score,,19596,
Thu Jun 4 2015,9:00p,CLE,100,GSW,108,Box Score,OT,19596,
Sun Jun 7 2015,8:00p,CLE,95,GSW,93,Box Score,OT,19596,
Tue Jun 9 2015,9:00p,GSW,91,CLE,96,Box Score,,20562,
Thu Jun 11 2015,9:00p,GSW,103,CLE,82,Box Score,,20562,
Sun Jun 14 2015,8:00p,CLE,91,GSW,104,Box Score,,19596,
Tue Jun 16 2015,9:00p,GSW,105,CLE,97,Box Score,,20562,
