Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Apr 14 2018,3:00p,SAS,92,GSW,113,Box Score,,19596,
Sat Apr 14 2018,5:30p,WAS,106,TOR,114,Box Score,,19937,
Sat Apr 14 2018,8:00p,MIA,103,PHI,130,Box Score,,20617,
Sat Apr 14 2018,10:30p,NOP,97,POR,95,Box Score,,19882,
Sun Apr 15 2018,1:00p,MIL,107,BOS,113,Box Score,OT,18624,
Sun Apr 15 2018,3:30p,IND,98,CLE,80,Box Score,,20562,
Sun Apr 15 2018,6:30p,UTA,108,OKC,116,Box Score,,18203,
Sun Apr 15 2018,9:00p,MIN,101,HOU,104,Box Score,,18055,
Mon Apr 16 2018,8:00p,MIA,113,PHI,103,Box Score,,20753,
Mon Apr 16 2018,10:30p,SAS,101,GSW,116,Box Score,,19596,
Tue Apr 17 2018,7:00p,WAS,119,TOR,130,Box Score,,20242,
Tue Apr 17 2018,8:00p,MIL,106,BOS,120,Box Score,,18624,
Tue Apr 17 2018,10:30p,NOP,111,POR,102,Box Score,,20066,
Wed Apr 18 2018,7:00p,IND,97,CLE,100,Box Score,,20562,
Wed Apr 18 2018,8:00p,UTA,102,OKC,95,Box Score,,18203,
Wed Apr 18 2018,9:30p,MIN,82,HOU,102,Box Score,,18055,
Thu Apr 19 2018,7:00p,PHI,128,MIA,108,Box Score,,19812,
Thu Apr 19 2018,9:00p,POR,102,NOP,119,Box Score,,18551,
Thu Apr 19 2018,9:30p,GSW,110,SAS,97,Box Score,,18418,
Fri Apr 20 2018,7:00p,CLE,90,IND,92,Box Score,,17923,
Fri Apr 20 2018,8:00p,TOR,103,WAS,122,Box Score,,20356,
Fri Apr 20 2018,9:30p,BOS,92,MIL,116,Box Score,,18717,
Sat Apr 21 2018,2:30p,PHI,106,MIA,102,Box Score,,19804,
Sat Apr 21 2018,5:00p,POR,123,NOP,131,Box Score,,18544,
Sat Apr 21 2018,7:30p,HOU,105,MIN,121,Box Score,,18978,
Sat Apr 21 2018,10:00p,OKC,102,UTA,115,Box Score,,18306,
Sun Apr 22 2018,1:00p,BOS,102,MIL,104,Box Score,,18717,
Sun Apr 22 2018,3:30p,GSW,90,SAS,103,Box Score,,18418,
Sun Apr 22 2018,6:00p,TOR,98,WAS,106,Box Score,,20356,
Sun Apr 22 2018,8:30p,CLE,104,IND,100,Box Score,,17923,
Mon Apr 23 2018,8:00p,HOU,119,MIN,100,Box Score,,18978,
Mon Apr 23 2018,10:30p,OKC,96,UTA,113,Box Score,,18306,
Tue Apr 24 2018,7:00p,MIL,87,BOS,92,Box Score,,18624,
Tue Apr 24 2018,8:00p,MIA,91,PHI,104,Box Score,,21171,
Tue Apr 24 2018,10:30p,SAS,91,GSW,99,Box Score,,19596,
Wed Apr 25 2018,7:00p,IND,95,CLE,98,Box Score,,20562,
Wed Apr 25 2018,7:00p,WAS,98,TOR,108,Box Score,,19987,
Wed Apr 25 2018,9:30p,UTA,99,OKC,107,Box Score,,18203,
Wed Apr 25 2018,9:30p,MIN,104,HOU,122,Box Score,,18055,
Thu Apr 26 2018,8:00p,BOS,86,MIL,97,Box Score,,18717,
Fri Apr 27 2018,7:00p,TOR,102,WAS,92,Box Score,,20356,
Fri Apr 27 2018,8:00p,CLE,87,IND,121,Box Score,,17923,
Fri Apr 27 2018,10:30p,OKC,91,UTA,96,Box Score,,18306,
Sat Apr 28 2018,8:00p,MIL,96,BOS,112,Box Score,,18624,
Sat Apr 28 2018,10:30p,NOP,101,GSW,123,Box Score,,19596,
Sun Apr 29 2018,1:00p,IND,101,CLE,105,Box Score,,20562,
Sun Apr 29 2018,3:30p,UTA,96,HOU,110,Box Score,,18055,
Mon Apr 30 2018,8:00p,PHI,101,BOS,117,Box Score,,18624,
Tue May 1 2018,8:00p,CLE,113,TOR,112,Box Score,OT,19954,
Tue May 1 2018,10:30p,NOP,116,GSW,121,Box Score,,19596,
Wed May 2 2018,8:00p,UTA,116,HOU,108,Box Score,,18055,
Thu May 3 2018,6:00p,CLE,128,TOR,110,Box Score,,20127,
Thu May 3 2018,8:30p,PHI,103,BOS,108,Box Score,,18624,
Fri May 4 2018,8:00p,GSW,100,NOP,119,Box Score,,18551,
Fri May 4 2018,10:30p,HOU,113,UTA,92,Box Score,,18306,
Sat May 5 2018,5:00p,BOS,101,PHI,98,Box Score,OT,20758,
Sat May 5 2018,8:30p,TOR,103,CLE,105,Box Score,,20562,
Sun May 6 2018,3:30p,GSW,118,NOP,92,Box Score,,18513,
Sun May 6 2018,8:00p,HOU,100,UTA,87,Box Score,,18306,
Mon May 7 2018,6:00p,BOS,92,PHI,103,Box Score,,20936,
Mon May 7 2018,8:30p,TOR,93,CLE,128,Box Score,,20562,
Tue May 8 2018,8:00p,UTA,102,HOU,112,Box Score,,18055,
Tue May 8 2018,10:30p,NOP,104,GSW,113,Box Score,,19596,
Wed May 9 2018,8:00p,PHI,112,BOS,114,Box Score,,18624,
Sun May 13 2018,3:30p,CLE,83,BOS,108,Box Score,,18624,
Mon May 14 2018,9:00p,GSW,119,HOU,106,Box Score,,18055,
Tue May 15 2018,8:30p,CLE,94,BOS,107,Box Score,,18624,
Wed May 16 2018,9:00p,GSW,105,HOU,127,Box Score,,18119,
Sat May 19 2018,8:30p,BOS,86,CLE,116,Box Score,,20562,
Sun May 20 2018,8:00p,HOU,85,GSW,126,Box Score,,19596,
Mon May 21 2018,8:30p,BOS,102,CLE,111,Box Score,,20562,
Tue May 22 2018,9:00p,HOU,95,GSW,92,Box Score,,19596,
Wed May 23 2018,8:30p,CLE,83,BOS,96,Box Score,,18624,
Thu May 24 2018,9:00p,GSW,94,HOU,98,Box Score,,18208,
Fri May 25 2018,8:30p,BOS,99,CLE,109,Box Score,,20562,
Sat May 26 2018,9:00p,HOU,86,GSW,115,Box Score,,19596,
Sun May 27 2018,8:30p,CLE,87,BOS,79,Box Score,,18624,
Mon May 28 2018,9:00p,GSW,101,HOU,92,Box Score,,18055,
Thu May 31 2018,9:00p,CLE,114,GSW,124,Box Score,OT,19596,
